Freq.	V(n001)/(-I(V1))
6.76082975391980e+000	6.00790693077245e+002,2.86560187374096e+000
6.91830970918935e+000	6.00866175155129e+002,3.06525577549967e+000
7.07945784384136e+000	6.00948846130706e+002,3.27858021133371e+000
7.24435960074988e+000	6.01039387071197e+002,3.50648207760790e+000
7.41310241300916e+000	6.01138543121881e+002,3.74992498734741e+000
7.58577575029182e+000	6.01247129487775e+002,4.00993240937047e+000
7.76247116628690e+000	6.01366037970474e+002,4.28759093144403e+000
7.94328234724279e+000	6.01496244111860e+002,4.58405364567615e+000
8.12830516164097e+000	6.01638815001430e+002,4.90054365308699e+000
8.31763771102669e+000	6.01794917809501e+002,5.23835768287892e+000
8.51138038202374e+000	6.01965829114645e+002,5.59886982021330e+000
8.70963589956078e+000	6.02152945100506e+002,5.98353533434795e+000
8.91250938133743e+000	6.02357792704687e+002,6.39389459669535e+000
9.12010839355907e+000	6.02582041810787e+002,6.83157707571482e+000
9.33254300796988e+000	6.02827518584047e+002,7.29830539245890e+000
9.54992586021433e+000	6.03096220061579e+002,7.79589941702306e+000
9.77237220955808e+000	6.03390330119872e+002,8.32628038198394e+000
9.99999999999997e+000	6.03712236955549e+002,8.89147498407277e+000
1.02329299228075e+001	6.04064552230200e+002,9.49361943966448e+000
1.04712854805090e+001	6.04450132046995e+002,1.01349634531030e+001
1.07151930523760e+001	6.04872099945793e+002,1.08178740491215e+001
1.09647819614318e+001	6.05333872125145e+002,1.15448392115633e+001
1.12201845430196e+001	6.05839185124158e+002,1.23184712599197e+001
1.14815362149688e+001	6.06392126225308e+002,1.31415098825754e+001
1.17489755493953e+001	6.06997166871355e+002,1.40168247306669e+001
1.20226443461741e+001	6.07659199426348e+002,1.49474174586536e+001
1.23026877081238e+001	6.08383577652929e+002,1.59364230763984e+001
1.25892541179416e+001	6.09176161326826e+002,1.69871104520459e+001
1.28824955169313e+001	6.10043365465526e+002,1.81028817742601e+001
1.31825673855640e+001	6.10992214712987e+002,1.92872707452802e+001
1.34896288259165e+001	6.12030403497351e+002,2.05439392312606e+001
1.38038426460288e+001	6.13166362665734e+002,2.18766720416028e+001
1.41253754462275e+001	6.14409333401376e+002,2.32893694421104e+001
1.44543977074592e+001	6.15769449346171e+002,2.47860369248195e+001
1.47910838816820e+001	6.17257827988751e+002,2.63707716565579e+001
1.51356124843620e+001	6.18886672538216e+002,2.80477449038611e+001
1.54881661891248e+001	6.20669385690236e+002,2.98211795778673e+001
1.58489319246111e+001	6.22620696910183e+002,3.16953218515153e+001
1.62181009735892e+001	6.24756805112536e+002,3.36744055630188e+001
1.65958690743755e+001	6.27095538913090e+002,3.57626078217052e+001
1.69824365246174e+001	6.29656536977633e+002,3.79639938588353e+001
1.73780082874937e+001	6.32461451395526e+002,4.02824486963524e+001
1.77827941003892e+001	6.35534177477906e+002,4.27215926140523e+001
1.81970085860998e+001	6.38901113927429e+002,4.52846766459648e+001
1.86208713666286e+001	6.42591457959587e+002,4.79744533851728e+001
1.90546071796324e+001	6.46637540684042e+002,5.07930171646343e+001
1.94984459975804e+001	6.51075208886410e+002,5.37416061339372e+001
1.99526231496887e+001	6.55944260291048e+002,5.68203567688558e+001
2.04173794466952e+001	6.61288940431640e+002,6.00279988015451e+001
2.08929613085403e+001	6.67158510394857e+002,6.33614752724786e+001
2.13796208950222e+001	6.73607895898752e+002,6.68154681543028e+001
2.18776162394954e+001	6.80698429354225e+002,7.03818044836140e+001
2.23872113856833e+001	6.88498697612859e+002,7.40487107641456e+001
2.29086765276776e+001	6.97085508818949e+002,7.77998740520714e+001
2.34422881531991e+001	7.06544991811299e+002,8.16132559129693e+001
2.39883291901948e+001	7.16973840298010e+002,8.54595894467083e+001
2.45470891568502e+001	7.28480710651124e+002,8.93004686321707e+001
2.51188643150957e+001	7.41187775200791e+002,9.30859118277187e+001
2.57039578276885e+001	7.55232420081815e+002,9.67512454495971e+001
2.63026799189537e+001	7.70769054436358e+002,1.00213107271246e+002
2.69153480392690e+001	7.87970960536267e+002,1.03364308676148e+002
2.75422870333815e+001	8.07032053496029e+002,1.06067218626057e+002
2.81838293126444e+001	8.28168321316030e+002,1.08145236623280e+002
2.88403150312659e+001	8.51618560512225e+002,1.09371807040135e+002
2.95120922666637e+001	8.77643778520316e+002,1.09456297363574e+002
3.01995172040200e+001	9.06524255388799e+002,1.08025933776721e+002
3.09029543251358e+001	9.38552677897439e+002,1.04602897459295e+002
3.16227766016837e+001	9.74020889257525e+002,9.85757166189422e+001
3.23593656929627e+001	1.01319652665815e+003,8.91644070609803e+001
3.31131121482590e+001	1.05628404105470e+003,7.53797269488357e+001
3.38844156139201e+001	1.10336228421898e+003,5.59789661743802e+001
3.46736850452530e+001	1.15428825654633e+003,2.94247861743182e+001
3.54813389233574e+001	1.20855467317391e+003,-6.13892375395451e+000
3.63078054770100e+001	1.26509012289961e+003,-5.28678874231726e+001
3.71535229097171e+001	1.32199976607261e+003,-1.13110835614773e+002
3.80189396320559e+001	1.37627027150312e+003,-1.89150997902581e+002
3.89045144994279e+001	1.42351544087654e+003,-2.82721128377466e+002
3.98107170553495e+001	1.45792144299096e+003,-3.94247061036720e+002
4.07380277804111e+001	1.47263417966646e+003,-5.21888618176410e+002
4.16869383470333e+001	1.46082626230494e+003,-6.60669366676163e+002
4.26579518801591e+001	1.41745137984940e+003,-8.02236869114599e+002
4.36515832240164e+001	1.34120015283451e+003,-9.35817620165877e+002
4.46683592150961e+001	1.23569658802793e+003,-1.05044800986973e+003
4.57088189614873e+001	1.10906902939956e+003,-1.13770426518611e+003
4.67735141287196e+001	9.71900383697600e+002,-1.19363462862875e+003
4.78630092322636e+001	8.34563283299865e+002,-1.21902686962969e+003
4.89778819368444e+001	7.05175434312708e+002,-1.21818593948769e+003
5.01187233627270e+001	5.88782322676140e+002,-1.19711374596562e+003
5.12861383991362e+001	4.87594377871852e+002,-1.16193860916857e+003
5.24807460249770e+001	4.01748628717178e+002,-1.11796939976991e+003
5.37031796370250e+001	3.30134846151435e+002,-1.06933528233667e+003
5.49540873857622e+001	2.71050957372822e+002,-1.01900155559489e+003
5.62341325190346e+001	2.22634276602158e+002,-9.68959818992275e+002
5.75439937337154e+001	1.83104508331475e+002,-9.20461522271150e+002
5.88843655355586e+001	1.50877601222955e+002,-8.74230346149960e+002
6.02559586074355e+001	1.24602136983202e+002,-8.30631207111535e+002
6.16595001861479e+001	1.03154507363119e+002,-7.89794927997151e+002
6.30957344480190e+001	8.56152681846596e+001,-7.51705830733704e+002
6.45654229034652e+001	7.12392307796070e+001,-7.16261187143376e+002
6.60693448007593e+001	5.94256937693530e+001,-6.83310475424661e+002
6.76082975391978e+001	4.96916706148874e+001,-6.52680654960714e+002
6.91830970918933e+001	4.16490662946295e+001,-6.24191997642919e+002
7.07945784384134e+001	3.49858158950081e+001,-5.97667659944890e+002
7.24435960074986e+001	2.94505870246316e+001,-5.72939173215313e+002
7.41310241300914e+001	2.48405125952692e+001,-5.49849315340147e+002
7.58577575029180e+001	2.09914184079879e+001,-5.28253334341175e+002
7.76247116628688e+001	1.77700650209837e+001,-5.08019160934230e+002
7.94328234724277e+001	1.50679967831316e+001,-4.89027023955824e+002
8.12830516164095e+001	1.27966642535809e+001,-4.71168734609868e+002
8.31763771102667e+001	1.08835517255429e+001,-4.54346808034792e+002
8.51138038202372e+001	9.26909682041671e+000,-4.38473526899663e+002
8.70963589956076e+001	7.90423421720798e+000,-4.23470010252773e+002
8.91250938133741e+001	6.74843167127894e+000,-4.09265324082956e+002
9.12010839355905e+001	5.76811500320407e+000,-3.95795652972339e+002
9.33254300796986e+001	4.93540111970460e+000,-3.83003541481555e+002
9.54992586021431e+001	4.22707561323864e+000,-3.70837207309168e+002
9.77237220955805e+001	3.62376511762579e+000,-3.59249924351101e+002
9.99999999999995e+001	3.10926521769066e+000,-3.48199471595415e+002
1.02329299228075e+002	2.66999299065624e+000,-3.37647642693079e+002
1.04712854805089e+002	2.29453972054022e+000,-3.27559810634203e+002
1.07151930523760e+002	1.97330438219971e+000,-3.17904541962644e+002
1.09647819614318e+002	1.69819245493782e+000,-3.08653255205865e+002
1.12201845430196e+002	1.46236774083478e+000,-2.99779918569778e+002
1.14815362149688e+002	1.26004731859501e+000,-2.91260782379656e+002
1.17489755493952e+002	1.08633170513470e+000,-2.83074142194359e+002
1.20226443461741e+002	9.37063836742041e-001,-2.75200128956316e+002
1.23026877081237e+002	8.08711706387109e-001,-2.67620522949241e+002
1.25892541179416e+002	6.98270471075140e-001,-2.60318588712085e+002
1.28824955169313e+002	6.03180625442941e-001,-2.53278928398550e+002
1.31825673855640e+002	5.21259465938483e-001,-2.46487351376457e+002
1.34896288259165e+002	4.50643575816042e-001,-2.39930758132072e+002
1.38038426460288e+002	3.89740469835170e-001,-2.33597036783528e+002
1.41253754462275e+002	3.37187868628723e-001,-2.27474970717620e+002
1.44543977074592e+002	2.91819341698942e-001,-2.21554156048434e+002
1.47910838816820e+002	2.52635277162819e-001,-2.15824927757392e+002
1.51356124843620e+002	2.18778315414771e-001,-2.10278293514999e+002
1.54881661891247e+002	1.89512530533975e-001,-2.04905874307428e+002
1.58489319246110e+002	1.64205763700909e-001,-1.99699851098195e+002
1.62181009735892e+002	1.42314612035599e-001,-1.94652916848696e+002
1.65958690743755e+002	1.23371658086969e-001,-1.89758233302905e+002
1.69824365246173e+002	1.06974592873782e-001,-1.85009392012729e+002
1.73780082874936e+002	9.27769414732186e-002,-1.80400379142710e+002
1.77827941003891e+002	8.04801467530330e-002,-1.75925543647077e+002
1.81970085860997e+002	6.98268056346416e-002,-1.71579568459718e+002
1.86208713666286e+002	6.05948846301284e-002,-1.67357444379223e+002
1.90546071796323e+002	5.25927684352037e-002,-1.63254446367635e+002
1.94984459975803e+002	4.56550179977003e-002,-1.59266112013539e+002
1.99526231496887e+002	3.96387334671153e-002,-1.55388221938185e+002
2.04173794466952e+002	3.44204333809373e-002,-1.51616781948079e+002
2.08929613085403e+002	2.98933748651356e-002,-1.47948006759163e+002
2.13796208950222e+002	2.59652509376378e-002,-1.44378305136884e+002
2.18776162394954e+002	2.25562105508229e-002,-1.40904266313331e+002
2.23872113856832e+002	1.95971550786711e-002,-1.37522647557544e+002
2.29086765276776e+002	1.70282717842098e-002,-1.34230362788254e+002
2.34422881531991e+002	1.47977705912518e-002,-1.31024472130037e+002
2.39883291901947e+002	1.28607953961095e-002,-1.27902172324143e+002
2.45470891568501e+002	1.11784853277402e-002,-1.24860787914485e+002
2.51188643150956e+002	9.71716491383453e-003,-1.21897763137399e+002
2.57039578276885e+002	8.44764513221984e-003,-1.19010654451013e+002
2.63026799189536e+002	7.34461990260594e-003,-1.16197123646550e+002
2.69153480392690e+002	6.38614477121454e-003,-1.13454931489578e+002
2.75422870333815e+002	5.55318641750970e-003,-1.10781931844412e+002
2.81838293126443e+002	4.82923321637234e-003,-1.08176066239368e+002
2.88403150312659e+002	4.19995846141022e-003,-1.05635358834736e+002
2.95120922666637e+002	3.65292903012202e-003,-1.03157911758933e+002
3.01995172040200e+002	3.17735327850478e-003,-1.00741900781630e+002
3.09029543251357e+002	2.76386281612123e-003,-9.83855712955286e+001
3.16227766016836e+002	2.40432355359364e-003,-9.60872345811591e+001
3.23593656929626e+002	2.09167205077172e-003,-9.38452643313920e+001
3.31131121482589e+002	1.81977374057719e-003,-9.16580934145200e+001
3.38844156139200e+002	1.58330007364427e-003,-8.95242108566668e+001
3.46736850452529e+002	1.37762203333712e-003,-8.74421590260160e+001
3.54813389233573e+002	1.19871781889718e-003,-8.54105310029113e+001
3.63078054770099e+002	1.04309279435173e-003,-8.34279681212853e+001
3.71535229097170e+002	9.07710059231349e-004,-8.14931576681469e+001
3.80189396320558e+002	7.89930219939686e-004,-7.96048307290082e+001
3.89045144994278e+002	6.87459132794812e-004,-7.77617601681716e+001
3.98107170553494e+002	5.98302555598685e-004,-7.59627587337431e+001
4.07380277804110e+002	5.20726787761448e-004,-7.42066772780911e+001
4.16869383470332e+002	4.53224502658163e-004,-7.24924030852485e+001
4.26579518801589e+002	3.94485082729976e-004,-7.08188582974608e+001
4.36515832240163e+002	3.43368860180568e-004,-6.91849984337227e+001
4.46683592150960e+002	2.98884745957020e-004,-6.75898109937307e+001
4.57088189614872e+002	2.60170798757223e-004,-6.60323141412109e+001
4.67735141287195e+002	2.26477345549957e-004,-6.45115554610634e+001
4.78630092322635e+002	1.97152316799302e-004,-6.30266107852086e+001
4.89778819368443e+002	1.71628504346745e-004,-6.15765830824225e+001
5.01187233627268e+002	1.49412488665585e-004,-6.01606014078167e+001
5.12861383991361e+002	1.30075015776114e-004,-5.87778199079558e+001
5.24807460249769e+002	1.13242633198254e-004,-5.74274168779127e+001
5.37031796370249e+002	9.85904195261882e-005,-5.61085938668437e+001
5.49540873857620e+002	8.58356640596611e-005,-5.48205748289252e+001
5.62341325190345e+002	7.47323718705012e-005,-5.35626053167291e+001
5.75439937337152e+002	6.50664861104590e-005,-5.23339517143320e+001
5.88843655355584e+002	5.66517336147976e-005,-5.11339005076532e+001
6.02559586074353e+002	4.93260122166108e-005,-4.99617575896989e+001
6.16595001861477e+002	4.29482489116680e-005,-4.88168475985596e+001
6.30957344480188e+002	3.73956673207408e-005,-4.76985132861617e+001
6.45654229034650e+002	3.25614109746052e-005,-4.66061149159183e+001
6.60693448007591e+002	2.83524759595853e-005,-4.55390296875537e+001
6.76082975391976e+002	2.46879125500907e-005,-4.44966511875001e+001
6.91830970918931e+002	2.14972607416216e-005,-4.34783888633728e+001
7.07945784384132e+002	1.87191891893321e-005,-4.24836675211383e+001
7.24435960074984e+002	1.63003110454320e-005,-4.15119268436798e+001
7.41310241300911e+002	1.41941536532153e-005,-4.05626209295568e+001
7.58577575029177e+002	1.23602620654394e-005,-3.96352178508330e+001
7.76247116628685e+002	1.07634189700915e-005,-3.87291992289261e+001
7.94328234724275e+002	9.37296587924439e-006,-3.78440598274989e+001
8.12830516164092e+002	8.16221241182513e-006,-3.69793071614769e+001
8.31763771102664e+002	7.10792221781635e-006,-3.61344611213384e+001
8.51138038202369e+002	6.18986558363681e-006,-3.53090536118778e+001
8.70963589956073e+002	5.39043005567090e-006,-3.45026282046913e+001
8.91250938133738e+002	4.69428154671710e-006,-3.37147398036877e+001
9.12010839355902e+002	4.08806937070907e-006,-3.29449543229655e+001
9.33254300796983e+002	3.56016950371418e-006,-3.21928483764406e+001
9.54992586021428e+002	3.10046111067882e-006,-3.14580089786494e+001
9.77237220955802e+002	2.70013202221207e-006,-3.07400332561836e+001
1.00000000000000e+003	2.35150940651420e-006,-3.00385281692470e+001
